columna,n_outliers,pct_outliers,min,max,Q1,Q3,limite_inferior,limite_superior,mediana,media
icu_type_encoded,20981,22.876800453588913,0.0,7.0,4.0,5.0,2.5,6.5,5.0,4.286960409102308
diabetes_mellitus,20492,22.343615408938756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22343615408938755
ethnicity_encoded,19634,21.408088275380805,0.0,5.0,2.0,2.0,2.0,2.0,2.0,1.9811477107934534
gcs_motor_apache,18852,20.555428347126362,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.482156291910634
gcs_verbal_apache,18681,20.368977135193482,1.0,5.0,4.0,5.0,2.5,6.5,5.0,4.015613926051923
apache_post_operative,18444,20.110562297602304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20110562297602302
elective_surgery,16851,18.373622060122337,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18373622060122338
pre_icu_los_days,15815,17.244011208879876,-24.94722222,159.0909722,0.035416667,0.409027778,-0.5249999995,0.9694444445,0.138888889,0.835766050667986
intubated_apache,13761,15.004415949756305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15004415949756306
apache_4a_icu_death_prob,13377,14.58571849138072,-1.0,0.97,0.01,0.06,-0.065,0.135,0.02,0.04187912291605334
apache_4a_hospital_death_prob,12174,13.27401786006346,-1.0,0.99,0.02,0.12,-0.13,0.27,0.05,0.0835992716408797
d1_spo2_max,9262,10.09889546738194,0.0,100.0,99.0,100.0,97.5,101.5,100.0,99.24458909860107
temp_apache,8762,9.553716485122067,32.1,39.7,36.2,36.7,35.45,37.45,36.5,36.41830340300721
gcs_eyes_apache,8274,9.021621798436428,1.0,4.0,3.0,4.0,1.5,5.5,4.0,3.476137515946485
hospital_death,7915,8.630183289173836,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08630183289173836
d1_temp_min,7320,7.981420300284584,31.889,37.8,36.1,36.6,35.35,37.35,36.4,36.27172552336572
d1_glucose_max,6406,6.984833120713531,73.0,611.0,119.0,196.0,3.5,311.5,150.0,173.07801511236138
d1_spo2_min,5973,6.512708122076477,0.0,100.0,89.0,95.0,80.0,104.0,92.0,90.46043636125741
d1_temp_max,5572,6.075474578304057,35.1,39.9,36.9,37.6,35.849999999999994,38.650000000000006,37.11,37.279786412831335
icu_stay_type_encoded,5530,6.029679543794228,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11448758627457395
d1_potassium_max,5192,5.661138551786552,2.8,7.0,3.9,4.5,3.0,5.4,4.2,4.246202283209579
d1_glucose_min,5090,5.549922039405537,33.0,288.0,92.0,129.0,36.5,184.5,107.0,113.91360003489146
d1_resprate_min,4754,5.1835617633269,0.0,100.0,10.0,16.0,1.0,25.0,13.0,12.846924645361073
d1_resprate_max,4638,5.057080239442609,14.0,92.0,22.0,32.0,7.0,47.0,26.0,28.870672641828314
apache_3j_diagnosis,4575,4.988387687677864,0.01,2201.05,203.01,703.03,-547.02,1453.06,409.02,556.4252977222422
h1_resprate_min,3986,4.346166846575731,0.0,189.0,14.0,20.0,5.0,29.0,16.0,17.153969448169835
h1_spo2_min,3915,4.268751431094828,0.0,100.0,94.0,99.0,86.5,106.5,96.0,95.21198739546193
bmi,3665,3.9961619399648907,14.84492591,67.81498973,23.78775981,32.65306122,10.489807695000005,45.95101333499999,27.65465458,29.128569969440544
d1_potassium_min,3529,3.847873256790204,2.4,5.8,3.6,4.2,2.7,5.1000000000000005,3.9,3.931036167173683
h1_resprate_max,3454,3.766096409451223,10.0,59.0,18.0,26.0,6.0,38.0,21.0,22.55600623684756
icu_admit_source_encoded,3217,3.507681571860042,0.0,4.0,0.0,1.0,-1.5,2.5,0.0,0.6928897757133667
weight,2843,3.0998876931296544,38.6,186.0,67.3,96.3,23.799999999999997,139.8,80.3,83.91776542038752
h1_spo2_max,2561,2.792406747135084,0.0,100.0,97.0,100.0,92.5,104.5,99.0,98.08823176648893
arf_apache,2546,2.7760513776672884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027760513776672883
d1_mbp_noninvasive_min,2424,2.643027705995878,22.0,112.0,55.0,74.0,26.5,102.5,64.0,64.92635722307634
h1_diasbp_noninvasive_max,2408,2.6255819785635626,37.0,144.0,64.0,85.0,32.5,116.5,74.0,75.66120397326442
immunosuppression,2381,2.596142313521529,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02596142313521529
d1_diasbp_max,2359,2.572154438302095,46.0,165.0,75.0,99.0,39.0,135.0,86.0,88.48739001014033
d1_diasbp_noninvasive_max,2346,2.557979784763338,46.0,165.0,75.0,99.0,39.0,135.0,87.0,88.5922497355882
h1_mbp_noninvasive_min,2236,2.4380404086661653,32.0,138.0,68.0,90.0,35.0,123.0,79.0,79.63905880300503
d1_diasbp_min,2194,2.3922453741563356,13.0,90.0,42.0,58.0,18.0,82.0,50.0,50.16102406420028
d1_diasbp_noninvasive_min,2190,2.3878839422982563,13.0,90.0,42.0,58.0,18.0,82.0,50.0,50.23984604145541
heart_rate_apache,2128,2.320281748498032,30.0,178.0,87.0,120.0,37.5,169.5,104.0,99.74902140372684
h1_mbp_noninvasive_max,2102,2.291932441420518,49.0,163.0,78.0,102.0,42.0,138.0,90.0,91.43623041444506
d1_mbp_max,2041,2.2254206055848136,60.0,184.0,90.0,116.0,51.0,155.0,102.0,104.64497944675237
d1_heartrate_min,1984,2.1632702016071876,0.0,175.0,60.0,81.0,28.5,112.5,69.0,70.31975837667507
h1_mbp_max,1945,2.1207462409909175,49.0,165.0,78.0,103.0,40.5,140.5,90.0,91.53136414684941
d1_mbp_noninvasive_max,1937,2.112023377274759,60.0,181.0,90.0,116.0,51.0,155.0,102.0,104.54867903132599
h1_sysbp_noninvasive_max,1929,2.1033005135586014,75.0,223.0,115.0,148.0,65.5,197.5,130.0,132.81017958195676
solid_tumor_with_metastasis,1878,2.047692257368094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02047692257368094
h1_diasbp_max,1830,1.995355075071146,37.0,143.0,63.0,86.0,28.5,120.5,74.0,75.30105873758355
d1_sysbp_min,1795,1.9571925463129545,41.0,160.0,84.0,110.0,45.0,149.0,96.0,96.92226838070938
d1_mbp_min,1795,1.9571925463129545,22.0,112.0,55.0,75.0,25.0,105.0,64.0,64.86976764471775
d1_sysbp_noninvasive_min,1779,1.9397468188806384,41.03,160.0,84.0,110.0,45.0,149.0,96.0,96.98218987493593
h1_diasbp_noninvasive_min,1644,1.7925484936704719,22.0,114.0,53.0,73.0,23.0,103.0,62.0,63.168787412907655
h1_sysbp_max,1538,1.6769705494313785,75.0,223.0,114.0,149.0,61.5,201.5,131.0,133.1589087697491
d1_heartrate_max,1460,1.5919226281988375,58.0,177.0,87.0,116.0,43.5,159.5,101.0,102.99740494804445
h1_heartrate_max,1436,1.5657540370503635,46.0,164.0,77.0,105.0,35.0,147.0,90.0,92.16138388232856
cirrhosis,1428,1.5570311733342055,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015570311733342055
d1_sysbp_max,1255,1.3683992454722884,90.0,232.0,130.0,164.0,79.0,215.0,146.0,148.33568850653668
d1_sysbp_noninvasive_max,1242,1.3542245919335318,90.0,232.0,130.0,164.0,79.0,215.0,146.0,148.21051541220982
hepatic_failure,1182,1.2888031140623468,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012888031140623467
h1_sysbp_noninvasive_min,1181,1.287712756097827,53.0,195.0,99.0,132.0,49.5,181.5,115.0,116.42558852071134
h1_mbp_min,1153,1.257182733091274,32.0,138.0,67.0,91.0,31.0,127.0,78.0,79.32921178022745
h1_heartrate_min,1091,1.1895805392910492,36.0,144.0,70.0,96.0,31.0,135.0,82.0,83.61310828344946
h1_diasbp_min,1044,1.1383337149586208,22.0,113.0,52.0,73.0,20.5,104.5,62.0,62.805076706682804
h1_sysbp_min,912,0.9944064636420136,53.0,194.0,98.0,133.0,45.5,185.5,115.0,116.30865853259625
gcs_unable_apache,864,0.9420692813450655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009420692813450655
age,772,0.8417563486092483,16.0,89.0,53.0,75.0,20.0,108.0,65.0,62.43354813385234
leukemia,643,0.7011001711862005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0070110017118620045
height,463,0.5048357375726451,137.2,195.59,162.56,177.8,139.7,200.66000000000003,170.1,169.64825564532836
lymphoma,376,0.40997459465942665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004099745946594267
aids,78,0.08504792123254064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008504792123254064
